"Step","00_sapg_6_6789_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h22m21s - successes/time","00_sapg_6_6789_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h22m21s - successes/time__MIN","00_sapg_6_6789_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h22m21s - successes/time__MAX","00_sapg_6_98765_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m51s - successes/time","00_sapg_6_98765_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m51s - successes/time__MIN","00_sapg_6_98765_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m51s - successes/time__MAX","00_sapg_6_2023_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m00s - successes/time","00_sapg_6_2023_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m00s - successes/time__MIN","00_sapg_6_2023_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m00s - successes/time__MAX","00_comparison_6_12345_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h18m49s - successes/time","00_comparison_6_12345_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h18m49s - successes/time__MIN","00_comparison_6_12345_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h18m49s - successes/time__MAX"
"39","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0"
"40","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0"
"41","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0","0","0"
"42","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0"
"43","0","0","0","","","","0","0","0","0","0","0"
"44","0","0","0","","","","0","0","0","0","0","0"
"45","0","0","0","0","0","0","0","0","0","0","0","0"
"46","0","0","0","","","","0","0","0","0","0","0"
"47","0","0","0","0","0","0","0","0","0","0","0","0"
"48","0","0","0","","","","0","0","0","0","0","0"
"49","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0"
"51","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0","0","0"
"52","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"53","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"54","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"55","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"56","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"57","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"58","0.00048828125","0.00048828125","0.00048828125","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"59","0.00048828125","0.00048828125","0.00048828125","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"60","0.00048828125","0.00048828125","0.00048828125","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"61","0.00048828125","0.00048828125","0.00048828125","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"62","0.00048828125","0.00048828125","0.00048828125","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"63","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"64","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"65","0.000244140625","0.000244140625","0.000244140625","","","","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"66","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"67","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"68","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"69","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"70","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"71","0.000244140625","0.000244140625","0.000244140625","","","","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"72","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"73","0.000244140625","0.000244140625","0.000244140625","","","","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"74","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"75","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"76","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"77","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"78","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"79","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"80","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"81","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625"
"82","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625"
"83","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625"
"84","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625"
"85","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"86","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"87","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"88","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"89","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"90","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"91","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"92","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"93","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0","0","0"
"94","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"95","0.000244140625","0.000244140625","0.000244140625","0","0","0","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"96","0","0","0","0","0","0","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"97","0","0","0","0","0","0","0.00048828125","0.00048828125","0.00048828125","0","0","0"
"98","0","0","0","","","","0.00048828125","0.00048828125","0.00048828125","0.000244140625","0.000244140625","0.000244140625"
"99","0","0","0","0","0","0","0.00048828125","0.00048828125","0.00048828125","0.00048828125","0.00048828125","0.00048828125"
"100","0","0","0","0","0","0","0.00048828125","0.00048828125","0.00048828125","0.00048828125","0.00048828125","0.00048828125"
"101","0","0","0","","","","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"102","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"103","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"104","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"105","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"106","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"107","0","0","0","","","","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125"
"108","0","0","0","","","","0","0","0","0.00048828125","0.00048828125","0.00048828125"
"109","0","0","0","0","0","0","0.00048828125","0.00048828125","0.00048828125","0.00048828125","0.00048828125","0.00048828125"
"110","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0.0009765625","0.0009765625","0.0009765625"
"111","0","0","0","","","","0.00048828125","0.00048828125","0.00048828125","0.0009765625","0.0009765625","0.0009765625"
"112","0","0","0","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0.001708984375","0.001708984375","0.001708984375"
"113","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.00048828125","0.00048828125","0.00048828125","0.001953125","0.001953125","0.001953125"
"114","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.001953125","0.001953125","0.001953125"
"115","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.001953125","0.001953125","0.001953125"
"116","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.001953125","0.001953125","0.001953125"
"117","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.001953125","0.001953125","0.001953125"
"118","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0.001953125","0.001953125","0.001953125"
"119","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.001708984375","0.001708984375","0.001708984375"
"120","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0.001220703125","0.001220703125","0.001220703125"
"121","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0.001220703125","0.001220703125","0.001220703125"
"122","0","0","0","","","","0.000244140625","0.000244140625","0.000244140625","0.001220703125","0.001220703125","0.001220703125"
"123","0","0","0","","","","0.000244140625","0.000244140625","0.000244140625","0.00146484375","0.00146484375","0.00146484375"
"124","0.000244140625","0.000244140625","0.000244140625","","","","0.000244140625","0.000244140625","0.000244140625","0.00146484375","0.00146484375","0.00146484375"
"125","0.00048828125","0.00048828125","0.00048828125","0.001220703125","0.001220703125","0.001220703125","0.000732421875","0.000732421875","0.000732421875","0.001220703125","0.001220703125","0.001220703125"
"126","0.00048828125","0.00048828125","0.00048828125","0.001953125","0.001953125","0.001953125","0.000732421875","0.000732421875","0.000732421875","0.001220703125","0.001220703125","0.001220703125"
"127","0.00048828125","0.00048828125","0.00048828125","","","","0.000732421875","0.000732421875","0.000732421875","0.001220703125","0.001220703125","0.001220703125"
"128","0.00048828125","0.00048828125","0.00048828125","0.00244140625","0.00244140625","0.00244140625","0.0009765625","0.0009765625","0.0009765625","0.001708984375","0.001708984375","0.001708984375"
"129","0.00048828125","0.00048828125","0.00048828125","0.00244140625","0.00244140625","0.00244140625","0.0009765625","0.0009765625","0.0009765625","0.00146484375","0.00146484375","0.00146484375"
"130","0.00048828125","0.00048828125","0.00048828125","0.001953125","0.001953125","0.001953125","0.0009765625","0.0009765625","0.0009765625","0.00146484375","0.00146484375","0.00146484375"
"131","0.00048828125","0.00048828125","0.00048828125","","","","0.0009765625","0.0009765625","0.0009765625","0.00146484375","0.00146484375","0.00146484375"
"132","0.000732421875","0.000732421875","0.000732421875","0.001220703125","0.001220703125","0.001220703125","0.0009765625","0.0009765625","0.0009765625","0.00146484375","0.00146484375","0.00146484375"
"133","0.0009765625","0.0009765625","0.0009765625","0.001220703125","0.001220703125","0.001220703125","0.0009765625","0.0009765625","0.0009765625","0.001708984375","0.001708984375","0.001708984375"
"134","0.0009765625","0.0009765625","0.0009765625","0.001220703125","0.001220703125","0.001220703125","0.0009765625","0.0009765625","0.0009765625","0.002197265625","0.002197265625","0.002197265625"
"135","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.0009765625","0.00244140625","0.00244140625","0.00244140625"
"136","0.001220703125","0.001220703125","0.001220703125","","","","0.0009765625","0.0009765625","0.0009765625","0.00244140625","0.00244140625","0.00244140625"
"137","0.00146484375","0.00146484375","0.00146484375","","","","0.0009765625","0.0009765625","0.0009765625","0.00244140625","0.00244140625","0.00244140625"
"138","0.00146484375","0.00146484375","0.00146484375","0.001220703125","0.001220703125","0.001220703125","0.0009765625","0.0009765625","0.0009765625","0.002197265625","0.002197265625","0.002197265625"
"139","0.001708984375","0.001708984375","0.001708984375","0.00146484375","0.00146484375","0.00146484375","0.0009765625","0.0009765625","0.0009765625","0.001953125","0.001953125","0.001953125"
"140","0.001953125","0.001953125","0.001953125","0.00146484375","0.00146484375","0.00146484375","0.0009765625","0.0009765625","0.0009765625","0.001953125","0.001953125","0.001953125"
"141","0.001708984375","0.001708984375","0.001708984375","","","","0.0009765625","0.0009765625","0.0009765625","0.001953125","0.001953125","0.001953125"
"142","0.002197265625","0.002197265625","0.002197265625","","","","0.0009765625","0.0009765625","0.0009765625","0.001953125","0.001953125","0.001953125"
"143","0.00244140625","0.00244140625","0.00244140625","","","","0.0009765625","0.0009765625","0.0009765625","0.001953125","0.001953125","0.001953125"
"144","0.002197265625","0.002197265625","0.002197265625","0.00146484375","0.00146484375","0.00146484375","0.0009765625","0.0009765625","0.0009765625","0.001953125","0.001953125","0.001953125"
"145","0.00244140625","0.00244140625","0.00244140625","","","","0.0009765625","0.0009765625","0.0009765625","0.001708984375","0.001708984375","0.001708984375"
"146","0.002685546875","0.002685546875","0.002685546875","0.001953125","0.001953125","0.001953125","0.000732421875","0.000732421875","0.000732421875","0.001708984375","0.001708984375","0.001708984375"
"147","0.00244140625","0.00244140625","0.00244140625","","","","0.000732421875","0.000732421875","0.000732421875","0.002197265625","0.002197265625","0.002197265625"
"148","0.002197265625","0.002197265625","0.002197265625","0.00244140625","0.00244140625","0.00244140625","0.000732421875","0.000732421875","0.000732421875","0.001708984375","0.001708984375","0.001708984375"
"149","0.0029296875","0.0029296875","0.0029296875","0.002197265625","0.002197265625","0.002197265625","0.000732421875","0.000732421875","0.000732421875","0.001708984375","0.001708984375","0.001708984375"
"150","0.00341796875","0.00341796875","0.00341796875","0.002685546875","0.002685546875","0.002685546875","0.0009765625","0.0009765625","0.0009765625","0.001708984375","0.001708984375","0.001708984375"
"151","0.00341796875","0.00341796875","0.00341796875","","","","0.0009765625","0.0009765625","0.0009765625","0.001708984375","0.001708984375","0.001708984375"
"152","0.003173828125","0.003173828125","0.003173828125","0.002685546875","0.002685546875","0.002685546875","0.0009765625","0.0009765625","0.0009765625","0.00244140625","0.00244140625","0.00244140625"
"153","0.0029296875","0.0029296875","0.0029296875","0.002685546875","0.002685546875","0.002685546875","0.0009765625","0.0009765625","0.0009765625","0.002197265625","0.002197265625","0.002197265625"
"154","0.003173828125","0.003173828125","0.003173828125","","","","0.0009765625","0.0009765625","0.0009765625","0.002685546875","0.002685546875","0.002685546875"
"155","0.0029296875","0.0029296875","0.0029296875","0.002197265625","0.002197265625","0.002197265625","0.000732421875","0.000732421875","0.000732421875","0.002685546875","0.002685546875","0.002685546875"
"156","0.0029296875","0.0029296875","0.0029296875","0.00244140625","0.00244140625","0.00244140625","0.000732421875","0.000732421875","0.000732421875","0.003173828125","0.003173828125","0.003173828125"
"157","0.0029296875","0.0029296875","0.0029296875","0.002685546875","0.002685546875","0.002685546875","0.000732421875","0.000732421875","0.000732421875","0.003662109375","0.003662109375","0.003662109375"
"158","0.002685546875","0.002685546875","0.002685546875","","","","0.001220703125","0.001220703125","0.001220703125","0.00341796875","0.00341796875","0.00341796875"
"159","0.003173828125","0.003173828125","0.003173828125","0.00244140625","0.00244140625","0.00244140625","0.001220703125","0.001220703125","0.001220703125","0.003173828125","0.003173828125","0.003173828125"
"160","0.003173828125","0.003173828125","0.003173828125","0.0029296875","0.0029296875","0.0029296875","0.001220703125","0.001220703125","0.001220703125","0.003173828125","0.003173828125","0.003173828125"
"161","0.003173828125","0.003173828125","0.003173828125","0.002685546875","0.002685546875","0.002685546875","0.001220703125","0.001220703125","0.001220703125","0.0029296875","0.0029296875","0.0029296875"
"162","0.003173828125","0.003173828125","0.003173828125","0.00244140625","0.00244140625","0.00244140625","0.00146484375","0.00146484375","0.00146484375","0.00244140625","0.00244140625","0.00244140625"
"163","0.0029296875","0.0029296875","0.0029296875","0.002197265625","0.002197265625","0.002197265625","0.00146484375","0.00146484375","0.00146484375","0.00244140625","0.00244140625","0.00244140625"
"164","0.00341796875","0.00341796875","0.00341796875","","","","0.00146484375","0.00146484375","0.00146484375","0.002197265625","0.002197265625","0.002197265625"
"165","0.00341796875","0.00341796875","0.00341796875","0.001953125","0.001953125","0.001953125","0.00146484375","0.00146484375","0.00146484375","0.001953125","0.001953125","0.001953125"
"166","0.003662109375","0.003662109375","0.003662109375","0.002197265625","0.002197265625","0.002197265625","0.00146484375","0.00146484375","0.00146484375","0.001708984375","0.001708984375","0.001708984375"
"167","0.003662109375","0.003662109375","0.003662109375","","","","0.00146484375","0.00146484375","0.00146484375","0.001708984375","0.001708984375","0.001708984375"
"168","0.004638671875","0.004638671875","0.004638671875","0.002685546875","0.002685546875","0.002685546875","0.00146484375","0.00146484375","0.00146484375","0.002685546875","0.002685546875","0.002685546875"
"169","0.00439453125","0.00439453125","0.00439453125","","","","0.00146484375","0.00146484375","0.00146484375","0.002685546875","0.002685546875","0.002685546875"
"170","0.005126953125","0.005126953125","0.005126953125","","","","0.001708984375","0.001708984375","0.001708984375","0.00341796875","0.00341796875","0.00341796875"
"171","0.005615234375","0.005615234375","0.005615234375","","","","0.001708984375","0.001708984375","0.001708984375","0.004150390625","0.004150390625","0.004150390625"
"172","0.005859375","0.005859375","0.005859375","0.0029296875","0.0029296875","0.0029296875","0.001708984375","0.001708984375","0.001708984375","0.004150390625","0.004150390625","0.004150390625"
"173","0.005859375","0.005859375","0.005859375","0.003173828125","0.003173828125","0.003173828125","0.001953125","0.001953125","0.001953125","0.004150390625","0.004150390625","0.004150390625"
"174","0.00634765625","0.00634765625","0.00634765625","0.003662109375","0.003662109375","0.003662109375","0.001953125","0.001953125","0.001953125","0.003662109375","0.003662109375","0.003662109375"
"175","0.0068359375","0.0068359375","0.0068359375","","","","0.001708984375","0.001708984375","0.001708984375","0.003173828125","0.003173828125","0.003173828125"
"176","0.0068359375","0.0068359375","0.0068359375","","","","0.001708984375","0.001708984375","0.001708984375","0.0029296875","0.0029296875","0.0029296875"
"177","0.006591796875","0.006591796875","0.006591796875","","","","0.001953125","0.001953125","0.001953125","0.0029296875","0.0029296875","0.0029296875"
"178","0.007080078125","0.007080078125","0.007080078125","0.004150390625","0.004150390625","0.004150390625","0.001953125","0.001953125","0.001953125","0.002685546875","0.002685546875","0.002685546875"
"179","0.006591796875","0.006591796875","0.006591796875","0.004150390625","0.004150390625","0.004150390625","0.001953125","0.001953125","0.001953125","0.002685546875","0.002685546875","0.002685546875"
"180","0.00732421875","0.00732421875","0.00732421875","0.00439453125","0.00439453125","0.00439453125","0.001953125","0.001953125","0.001953125","0.00390625","0.00390625","0.00390625"
"181","0.007568359375","0.007568359375","0.007568359375","","","","0.001953125","0.001953125","0.001953125","0.003662109375","0.003662109375","0.003662109375"
"182","0.0078125","0.0078125","0.0078125","0.004150390625","0.004150390625","0.004150390625","0.001953125","0.001953125","0.001953125","0.00390625","0.00390625","0.00390625"
"183","0.008056640625","0.008056640625","0.008056640625","0.004150390625","0.004150390625","0.004150390625","0.001953125","0.001953125","0.001953125","0.00390625","0.00390625","0.00390625"
"184","0.008056640625","0.008056640625","0.008056640625","","","","0.001708984375","0.001708984375","0.001708984375","0.004150390625","0.004150390625","0.004150390625"
"185","0.00830078125","0.00830078125","0.00830078125","","","","0.001708984375","0.001708984375","0.001708984375","0.00439453125","0.00439453125","0.00439453125"
"186","0.00830078125","0.00830078125","0.00830078125","0.00341796875","0.00341796875","0.00341796875","0.001953125","0.001953125","0.001953125","0.004638671875","0.004638671875","0.004638671875"
"187","0.00732421875","0.00732421875","0.00732421875","","","","0.001953125","0.001953125","0.001953125","0.0048828125","0.0048828125","0.0048828125"
"188","0.006591796875","0.006591796875","0.006591796875","0.004150390625","0.004150390625","0.004150390625","0.001953125","0.001953125","0.001953125","0.0048828125","0.0048828125","0.0048828125"
"189","0.00634765625","0.00634765625","0.00634765625","0.003662109375","0.003662109375","0.003662109375","0.001708984375","0.001708984375","0.001708984375","0.00439453125","0.00439453125","0.00439453125"
"190","0.00634765625","0.00634765625","0.00634765625","0.00341796875","0.00341796875","0.00341796875","0.001953125","0.001953125","0.001953125","0.005615234375","0.005615234375","0.005615234375"
"191","0.006103515625","0.006103515625","0.006103515625","0.003662109375","0.003662109375","0.003662109375","0.001953125","0.001953125","0.001953125","0.006103515625","0.006103515625","0.006103515625"
"192","0.00732421875","0.00732421875","0.00732421875","","","","0.001953125","0.001953125","0.001953125","0.00634765625","0.00634765625","0.00634765625"
"193","0.00732421875","0.00732421875","0.00732421875","","","","0.001953125","0.001953125","0.001953125","0.006591796875","0.006591796875","0.006591796875"
"194","0.0078125","0.0078125","0.0078125","","","","0.001953125","0.001953125","0.001953125","0.007080078125","0.007080078125","0.007080078125"
"195","0.0078125","0.0078125","0.0078125","","","","0.002197265625","0.002197265625","0.002197265625","0.005615234375","0.005615234375","0.005615234375"
"196","0.009033203125","0.009033203125","0.009033203125","0.00244140625","0.00244140625","0.00244140625","0.001953125","0.001953125","0.001953125","0.006591796875","0.006591796875","0.006591796875"
"197","0.009033203125","0.009033203125","0.009033203125","0.00244140625","0.00244140625","0.00244140625","0.002197265625","0.002197265625","0.002197265625","0.0068359375","0.0068359375","0.0068359375"
