"Step","00_ablation_policy_16_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h20m20s - successes/time","00_ablation_policy_16_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h20m20s - successes/time__MIN","00_ablation_policy_16_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h20m20s - successes/time__MAX","00_ablation_policy_16_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h16m51s - successes/time","00_ablation_policy_16_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h16m51s - successes/time__MIN","00_ablation_policy_16_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h16m51s - successes/time__MAX","00_ablation_policy_16_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h15m13s - successes/time","00_ablation_policy_16_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h15m13s - successes/time__MIN","00_ablation_policy_16_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h15m13s - successes/time__MAX","00_ablation_policy_16_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h14m14s - successes/time","00_ablation_policy_16_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h14m14s - successes/time__MIN","00_ablation_policy_16_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_21h14m14s - successes/time__MAX"
"44","","","","0","0","0","","","","0","0","0"
"45","","","","0","0","0","","","","0","0","0"
"46","","","","0","0","0","0","0","0","","",""
"47","","","","0","0","0","0","0","0","0","0","0"
"48","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","","",""
"49","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","0","0","0"
"50","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"51","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"52","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","0","0","0"
"53","","","","","","","0","0","0","","",""
"54","","","","0","0","0","","","","0","0","0"
"55","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","0","0","0"
"56","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","","",""
"57","","","","0","0","0","0","0","0","0","0","0"
"58","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"59","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"60","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"61","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"62","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","",""
"63","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"64","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"65","","","","","","","0","0","0","0","0","0"
"66","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"67","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"68","","","","","","","","","","0","0","0"
"69","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"70","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"71","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"72","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"73","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"74","0","0","0","","","","0","0","0","","",""
"75","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"76","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","",""
"77","0","0","0","","","","","","","","",""
"78","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","",""
"79","0","0","0","","","","0","0","0","0","0","0"
"80","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"81","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"82","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"83","","","","","","","0","0","0","0","0","0"
"84","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"85","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"86","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"87","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"88","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"89","0","0","0","","","","0","0","0","","",""
"90","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","",""
"91","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","",""
"92","0","0","0","","","","0","0","0","","",""
"93","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"94","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"95","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0"
"96","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0"
"97","0","0","0","0","0","0","0","0","0","0","0","0"
"98","","","","0","0","0","0","0","0","0","0","0"
"99","0","0","0","0","0","0","0","0","0","0","0","0"
"100","0","0","0","0","0","0","0","0","0","0","0","0"
"101","0","0","0","","","","0","0","0","0","0","0"
"102","","","","0","0","0","0","0","0","","",""
"103","0","0","0","0","0","0","","","","0","0","0"
"104","0","0","0","0","0","0","","","","0","0","0"
"105","0","0","0","","","","0","0","0","","",""
"106","0","0","0","0","0","0","0","0","0","","",""
"107","","","","0","0","0","0","0","0","","",""
"108","","","","0","0","0","","","","0","0","0"
"109","0","0","0","0","0","0","","","","","",""
"110","0","0","0","0","0","0","0","0","0","","",""
"111","0","0","0","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","","","","","",""
"113","","","","0","0","0","","","","0","0","0"
"114","0","0","0","0","0","0","0","0","0","0","0","0"
"115","0","0","0","0","0","0","0","0","0","0","0","0"
"116","0","0","0","","","","0","0","0","0","0","0"
"117","0","0","0","","","","","","","","",""
"118","0","0","0","","","","0","0","0","","",""
"119","","","","","","","0","0","0","0","0","0"
"120","0","0","0","0","0","0","","","","0","0","0"
"121","0","0","0","0","0","0","0","0","0","","",""
"122","0","0","0","0","0","0","0","0","0","","",""
"123","0","0","0","0","0","0","0","0","0","0","0","0"
"124","0","0","0","0","0","0","0","0","0","0","0","0"
"125","","","","0","0","0","0","0","0","0","0","0"
"126","","","","0","0","0","","","","0","0","0"
"127","0","0","0","0","0","0","0","0","0","0","0","0"
"128","0","0","0","","","","0","0","0","0","0","0"
"129","0","0","0","","","","","","","0","0","0"
"130","0","0","0","","","","0","0","0","0","0","0"
"131","0","0","0","","","","0","0","0","0","0","0"
"132","","","","0","0","0","0","0","0","0","0","0"
"133","0","0","0","0","0","0","0","0","0","","",""
"134","0","0","0","0","0","0","0","0","0","0","0","0"
"135","0","0","0","0","0","0","","","","0","0","0"
"136","0","0","0","","","","0","0","0","0","0","0"
"137","0","0","0","0","0","0","","","","0","0","0"
"138","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"139","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","0","0","0"
"140","","","","0","0","0","0","0","0","","",""
"141","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","","",""
"142","","","","","","","0","0","0","0","0","0"
"143","","","","0","0","0","","","","0","0","0"
"144","","","","0","0","0","","","","0","0","0"
"145","","","","0","0","0","0","0","0","0","0","0"
"146","0","0","0","0","0","0","0","0","0","0","0","0"
"147","0","0","0","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"148","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"149","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"150","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"151","","","","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"152","0","0","0","0","0","0","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"153","","","","0","0","0","0","0","0","0","0","0"
"154","0","0","0","0","0","0","0","0","0","0","0","0"
"155","","","","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0"
"156","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0"
"157","0","0","0","0","0","0","","","","","",""
"158","0","0","0","0","0","0","","","","0","0","0"
"159","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0"
"160","0","0","0","0","0","0","","","","","",""
"161","","","","0","0","0","0","0","0","0","0","0"
"162","","","","0","0","0","","","","0","0","0"
"163","","","","0","0","0","0","0","0","","",""
"164","0","0","0","0","0","0","","","","0","0","0"
"165","","","","0","0","0","","","","0","0","0"
"166","0","0","0","0","0","0","","","","","",""
"167","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","","",""
"168","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"169","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","0","0","0"
"170","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","","",""
"171","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","0","0","0"
"172","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","","",""
"173","0","0","0","0","0","0","0","0","0","0","0","0"
"174","0","0","0","0","0","0","0","0","0","0","0","0"
"175","0","0","0","0","0","0","0","0","0","","",""
"176","","","","0","0","0","0","0","0","","",""
"177","","","","","","","0","0","0","0","0","0"
"178","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"179","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","","",""
"180","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","0","0","0"
"181","","","","","","","","","","0","0","0"
"182","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","","","0","0","0"
"183","","","","0","0","0","","","","","",""
"184","","","","0","0","0","0","0","0","0","0","0"
"185","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","0","0","0"
"186","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0","0","0","0","0","0"
"187","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"188","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"189","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0","0","0"
"190","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"191","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"192","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","","","","","",""
"193","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"194","","","","0","0","0","","","","","",""
"195","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"196","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"197","","","","0","0","0","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"198","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","0","0","0","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"199","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"200","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","0.001953125","0.001953125","0.001953125","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"201","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0.001953125","0.001953125","0.001953125","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"202","","","","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","",""
"203","","","","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"204","","","","0","0","0","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"205","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"206","","","","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203"
"207","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"208","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","","",""
"209","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"210","","","","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","",""
"211","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"212","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","",""
"213","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"214","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"215","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"216","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","",""
"217","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"218","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"219","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"220","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"221","","","","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","",""
"222","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","","","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"223","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0","0","0","0.00390625","0.00390625","0.00390625","","",""
"224","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0","0","0","0.00390625","0.00390625","0.00390625","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"225","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","",""
"226","","","","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","",""
"227","0.001953125","0.001953125","0.001953125","0","0","0","0.00390625","0.00390625","0.00390625","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"228","","","","0","0","0","0.00390625","0.00390625","0.00390625","","",""
"229","0.001953125","0.001953125","0.001953125","0","0","0","0.00390625","0.00390625","0.00390625","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"230","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","","","","","",""
"231","","","","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.001953125","0.001953125","0.001953125"
"232","0.001953125","0.001953125","0.001953125","","","","0.00390625","0.00390625","0.00390625","0.001953125","0.001953125","0.001953125"
"233","0.001953125","0.001953125","0.001953125","0","0","0","","","","0.001953125","0.001953125","0.001953125"
"234","0.001953125","0.001953125","0.001953125","0","0","0","0.00390625","0.00390625","0.00390625","","",""
"235","0.001953125","0.001953125","0.001953125","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"236","0.001953125","0.001953125","0.001953125","","","","","","","","",""
"237","0.001953125","0.001953125","0.001953125","0","0","0","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"238","","","","0","0","0","0.00390625","0.00390625","0.00390625","","",""
"239","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","","","","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"240","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","","","","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"241","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0.00390625","0.00390625","0.00390625","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"242","","","","","","","0.00390625","0.00390625","0.00390625","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"243","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0","0","0","0.004557291977107525","0.004557291977107525","0.004557291977107525","","",""
"244","0.001953125","0.001953125","0.001953125","0","0","0","0.0052083334885537624","0.0052083334885537624","0.0052083334885537624","","",""
"245","0.001953125","0.001953125","0.001953125","","","","0.0052083334885537624","0.0052083334885537624","0.0052083334885537624","","",""
"246","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.005859375","0.005859375","0.005859375","","",""
"247","","","","","","","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"248","0.001953125","0.001953125","0.001953125","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.005859375","0.005859375","0.005859375","","",""
"249","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0071614584885537624","0.0071614584885537624","0.0071614584885537624","0.001953125","0.001953125","0.001953125"
"250","0.001953125","0.001953125","0.001953125","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0071614584885537624","0.0071614584885537624","0.0071614584885537624","","",""
"251","0.001953125","0.001953125","0.001953125","","","","","","","","",""
"252","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.005859375","0.005859375","0.005859375","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"253","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0052083334885537624","0.0052083334885537624","0.0052083334885537624","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"255","","","","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.00390625","0.00390625","0.00390625","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"256","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","","","0.00390625","0.00390625","0.00390625","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"257","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","","","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"258","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.005859375","0.005859375","0.005859375","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"259","0.001953125","0.001953125","0.001953125","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406"
"260","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","","","","","","","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"261","0.001953125","0.001953125","0.001953125","0.001953125","0.001953125","0.001953125","","","","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"262","","","","","","","0.0052083334885537624","0.0052083334885537624","0.0052083334885537624","0.004557291977107525","0.004557291977107525","0.004557291977107525"
"263","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.001953125","0.001953125","0.001953125","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.004557291977107525"
"264","0.0013020833721384406","0.0013020833721384406","0.0013020833721384406","0.001953125","0.001953125","0.001953125","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624"
"265","","","","0.001953125","0.001953125","0.001953125","0.0052083334885537624","0.0052083334885537624","0.0052083334885537624","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"266","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","","","","",""
"267","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0071614584885537624","0.0071614584885537624","0.0071614584885537624","","",""
"268","0","0","0","","","","0.008463541977107525","0.008463541977107525","0.008463541977107525","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812"
"269","0.0006510416860692203","0.0006510416860692203","0.0006510416860692203","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","","","","","",""
"270","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624","","","","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624"
"272","","","","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.004557291977107525","0.004557291977107525","0.004557291977107525","0.0032552084885537624","0.0032552084885537624","0.0032552084885537624"
